CDSCode,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
36678196036297,36,67819,6036297,2018-19,39,42,43,44,50,50,29,37,31,36,38,39
19647330133686,19,64733,0133686,2018-19,58,51,43,45,50,50,36,36,32,34,38,39
37684116070890,37,68411,6070890,2018-19,39,43,52,54,50,50,19,21,33,33,38,39
07617966004857,07,61796,6004857,2018-19,45,40,36,36,50,50,35,34,24,25,38,39
19757131930163,19,75713,1930163,2018-19,65,69,63,64,50,50,44,44,55,56,38,39
39767606041883,39,76760,6041883,2018-19,50,54,69,70,50,50,49,58,60,66,38,39
07617960730291,07,61796,0730291,2018-19,84,75,36,36,50,50,55,57,24,25,38,39
33669856031629,33,66985,6031629,2018-19,26,25,26,25,50,50,18,15,15,15,38,39
28662662830149,28,66266,2830149,2018-19,8,8,47,48,50,50,0,0,34,35,38,39
19648320108027,19,64832,0108027,2018-19,84,80,71,69,50,50,80,77,68,69,38,39
36677106119986,36,67710,6119986,2018-19,44,48,38,41,50,50,30,30,23,26,38,39
19647336017198,19,64733,6017198,2018-19,41,41,43,45,50,50,31,34,32,34,38,39
52714986093546,52,71498,6093546,2018-19,36,39,28,32,50,50,24,27,23,26,38,39
30666213035409,30,66621,3035409,2018-19,45,37,57,57,50,50,16,12,43,44,38,39
56726036055800,56,72603,6055800,2018-19,47,50,55,54,50,50,37,43,43,43,38,39
19649801938000,19,64980,1938000,2018-19,79,81,75,74,50,50,51,56,61,61,38,39
47764554730206,47,76455,4730206,2018-19,--,--,48,49,50,50,--,--,48,46,38,39
24657556116156,24,65755,6116156,2018-19,44,53,38,39,50,50,38,49,23,26,38,39
10621666006597,10,62166,6006597,2018-19,37,36,37,38,50,50,30,32,27,30,38,39
10622650108092,10,62265,0108092,2018-19,77,71,49,52,50,50,26,19,36,40,38,39
43694274330668,43,69427,4330668,2018-19,26,38,59,59,50,50,4,22,38,39,38,39
30664646111835,30,66464,6111835,2018-19,56,55,69,70,50,50,39,43,58,59,38,39
19642126010946,19,64212,6010946,2018-19,39,39,66,66,50,50,29,32,54,55,38,39
30666706030399,30,66670,6030399,2018-19,20,27,32,35,50,50,19,27,26,28,38,39
12626871230044,12,62687,1230044,2018-19,4,38,56,63,50,50,4,0,34,34,38,39
19647330115253,19,64733,0115253,2018-19,31,55,43,45,50,50,12,30,32,34,38,39
27102722730265,27,10272,2730265,2018-19,15,14,52,50,50,50,0,2,36,33,38,39
43694356047146,43,69435,6047146,2018-19,49,47,65,66,50,50,42,39,61,61,38,39
15633396009229,15,63339,6009229,2018-19,39,50,29,34,50,50,22,24,20,19,38,39
56105610135798,56,10561,0135798,2018-19,13,14,54,54,50,50,6,20,41,40,38,39
19642121930056,19,64212,1930056,2018-19,85,84,66,66,50,50,63,65,54,55,38,39
31668943131687,31,66894,3131687,2018-19,4,22,75,69,50,50,0,0,46,38,38,39
