CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
36678503633005,36,67850,3633005,2017-18,47,34,30,33,48,50,19,19,18,20,37,38
10621666103832,10,62166,6103832,2017-18,92,92,34,37,48,50,92,92,24,27,37,38
37682966038988,37,68296,6038988,2017-18,67,67,74,74,48,50,58,60,66,67,37,38
54768365430087,54,76836,5430087,2017-18,0,50,41,45,48,50,0.0,0,27,32,37,38
05615806088975,05,61580,6088975,2017-18,60,58,56,55,48,50,53,51,52,51,37,38
36679343630787,36,67934,3630787,2017-18,42,38,39,37,48,50,7,7,17,17,37,38
36677026116263,36,67702,6116263,2017-18,63,65,68,71,48,50,56,63,58,61,37,38
43695836095384,43,69583,6095384,2017-18,46,39,52,52,48,50,36,36,42,43,37,38
19649071933175,19,64907,1933175,2017-18,47,44,38,40,48,50,13,10,25,26,37,38
39685856111983,39,68585,6111983,2017-18,56,59,43,44,48,50,48,48,33,33,37,38
30667466030829,30,66746,6030829,2017-18,64,63,55,57,48,50,61,59,52,53,37,38
57726786056253,57,72678,6056253,2017-18,--,--,69,70,48,50,--,--,64,66,37,38
19647336020051,19,64733,6020051,2017-18,37,37,40,43,48,50,31,33,30,32,37,38
39686270132050,39,68627,0132050,2017-18,6,13,34,36,48,50,2,5,18,20,37,38
37684110111831,37,68411,0111831,2017-18,80,77,53,52,48,50,44,51,32,33,37,38
53105380125633,53,10538,0125633,2017-18,10,9,20,9,48,50,0,0,0,0,37,38
37684113732047,37,68411,3732047,2017-18,12,9,53,52,48,50,1,2,32,33,37,38
20651856101521,20,65185,6101521,2017-18,35,37,43,45,48,50,35,34,40,38,37,38
19649076021943,19,64907,6021943,2017-18,30,33,38,40,48,50,28,26,25,26,37,38
19647256015465,19,64725,6015465,2017-18,66,70,48,51,48,50,57,64,38,43,37,38
30665066028039,30,66506,6028039,2017-18,42,57,55,59,48,50,38,47,49,51,37,38
19769680109926,19,76968,0109926,2017-18,28,32,28,32,48,50,15,20,15,20,37,38
56737596055867,56,73759,6055867,2017-18,65,63,67,63,48,50,60,56,59,57,37,38
19647256061360,19,64725,6061360,2017-18,54,59,48,51,48,50,42,48,38,43,37,38
19647336018428,19,64733,6018428,2017-18,27,28,40,43,48,50,20,24,30,32,37,38
19101990122028,19,10199,0122028,2017-18,0,--,42,43,48,50,0,--,28,31,37,38
01612596066450,01,61259,6066450,2017-18,30,23,35,36,48,50,19,14,28,29,37,38
37683956098487,37,68395,6098487,2017-18,28,27,35,36,48,50,20,19,29,29,37,38
13631646117808,13,63164,6117808,2017-18,44,59,55,59,48,50,41,48,39,44,37,38
19647330126532,19,64733,0126532,2017-18,58,68,40,43,48,50,23,22,30,32,37,38
04615076003255,04,61507,6003255,2017-18,19,18,30,32,48,50,20,15,23,25,37,38
30664640115501,30,66464,0115501,2017-18,70,70,69,69,48,50,56,58,58,58,37,38
24753662430114,24,75366,2430114,2017-18,58,47,35,36,48,50,13,11,23,24,37,38
18640896010698,18,64089,6010698,2017-18,13,21,20,22,48,50,11,14,9,7,37,38
49104964930079,49,10496,4930079,2017-18,9,6,7,6,48,50,0,0,2,1,37,38
41690390136242,41,69039,0136242,2017-18,,56,,62,,50,,45,,55,,38
19752916022487,19,75291,6022487,2017-18,62,67,57,58,48,50,59,68,45,44,37,38
30667466030852,30,66746,6030852,2017-18,39,42,55,57,48,50,34,42,52,53,37,38
19644366012561,19,64436,6012561,2017-18,59,65,52,53,48,50,57,59,35,37,37,38
55724216115018,55,72421,6115018,2017-18,47,55,47,55,48,50,50,45,50,45,37,38
19647336017834,19,64733,6017834,2017-18,28,37,40,43,48,50,31,25,30,32,37,38
33670336031843,33,67033,6031843,2017-18,58,61,59,61,48,50,50,50,45,46,37,38
19642956011571,19,64295,6011571,2017-18,28,36,42,44,48,50,24,31,29,32,37,38
19647336057913,19,64733,6057913,2017-18,29,28,40,43,48,50,18,22,30,32,37,38
37683380123778,37,68338,0123778,2017-18,66,79,53,55,48,50,67,77,43,45,37,38
07617546004410,07,61754,6004410,2017-18,27,28,50,51,48,50,21,21,38,39,37,38
37103716119119,37,10371,6119119,2017-18,75,79,51,52,48,50,69,72,44,44,37,38
34674470112169,34,67447,0112169,2017-18,50,51,44,45,48,50,35,33,33,34,37,38
39685026070957,39,68502,6070957,2017-18,37,44,41,44,48,50,24,28,31,31,37,38
19647331930734,19,64733,1930734,2017-18,11,12,40,43,48,50,0,0,30,32,37,38
